X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40
-1.4187	-1.7311	-1.6301	0.3647	-2.8496	-0.6634	0.0470	1.4317	1.0353	-0.6129	-2.2138	0.7176	-0.6633	-0.2320	-0.5461	-1.1734	-0.0327	-0.8068	0.1487	0.7345	0.9555	1.4108	0.5527	1.2231	-0.8132	0.0915	0.7959	-1.0051	1.8594	1.2378	-2.4177	0.2907	-1.2951	-1.6611	-2.4022	0.3883	2.0486	-1.4480	-0.8470	-3.4442
0.5230	-0.0783	0.3644	2.5954	-0.6895	0.3980	-1.1542	-1.1501	0.2997	-1.1781	-0.5261	0.1682	-0.5555	1.7589	3.2926	-1.2530	-0.5398	-1.0094	0.8296	2.0617	0.9601	-0.8838	2.8869	-0.9271	2.0132	-0.2427	-0.3915	-0.6513	-0.7447	-0.1644	-0.4762	0.3065	-0.0611	0.5682	-0.5017	0.4910	0.3728	0.6952	0.8098	-1.7045
2.6199	0.1660	-3.3014	2.3865	1.5467	-1.6256	1.0140	-0.7915	-0.2396	-0.0760	-0.7722	2.0147	0.0132	-0.4843	1.0040	-0.3883	0.5623	-0.2666	-0.5289	-2.3369	-1.2836	1.3627	0.5958	0.5029	0.4338	0.0826	2.3883	-1.7069	-1.2388	1.7263	-0.6684	3.0187	0.6933	0.0385	-1.8223	-1.2335	-0.1304	-0.5752	0.3676	-1.6249
-1.7274	0.9825	1.0130	1.1699	0.4656	-1.2411	-0.1006	0.5280	-1.9336	1.0919	0.9153	1.6978	1.6008	1.1895	-0.8986	-1.8089	-0.4008	-0.9823	1.2204	-0.0295	-0.7064	-0.6400	-0.6238	0.6892	0.6801	2.1783	2.0629	-1.9648	-1.2160	0.3730	-1.8349	-0.7725	-2.2081	-0.4107	1.8802	1.5261	1.3111	0.1860	0.9174	0.0752
-1.4383	1.8530	-0.1873	1.3755	0.5018	-0.1071	1.8712	1.9850	1.3778	-1.3213	-4.2598	0.2989	0.2537	-1.5583	-1.2226	-1.5737	1.2172	-0.4574	0.8584	-0.1253	-0.2322	-0.9897	-0.1463	-3.2856	0.8944	2.2292	-1.8918	-0.2522	2.0925	1.6666	-1.0485	0.8740	-0.3840	1.4182	-0.7097	1.2213	-2.0637	-0.8693	1.2113	-1.1164
0.6018	-1.7855	-3.7369	-0.7444	-2.9505	-1.2288	0.3452	0.0563	-0.7262	-1.5541	1.8784	0.3897	1.0590	-0.2978	1.1702	0.6861	1.2916	0.4007	1.0559	0.9668	0.7114	-0.8836	-1.7824	-2.4843	-2.7030	0.2958	0.8462	-0.1744	2.1568	0.0655	0.0321	0.4005	-1.0786	-1.3754	-1.1021	1.9304	0.3235	0.6388	-0.6027	1.2089
0.1108	-0.0276	-1.2739	2.6008	-1.0282	0.9475	0.6512	-1.4960	-1.7718	0.4384	0.7113	0.5267	-0.1631	0.4833	-0.8408	1.4208	-1.4952	1.2970	0.6215	-0.0796	-0.6904	-1.4069	-1.1675	-3.0574	-1.2365	0.9051	-0.5243	-2.2419	0.9724	-3.6006	-0.5978	0.0313	0.3418	-0.9645	-0.5998	0.3729	3.1580	-0.3659	-1.2090	-0.0714
-0.5199	0.7562	-0.0025	2.1101	0.4555	-1.1336	-0.3799	1.8413	1.7867	-0.7950	-1.6478	0.2786	-0.6524	0.2133	-1.0832	-0.0353	-0.0941	0.5565	-0.4237	2.0396	-1.8453	1.4656	-1.5206	0.5870	-0.3589	-0.5573	-0.9649	1.3508	-0.6967	0.9276	-3.0342	0.9643	-0.6888	-0.8870	0.1079	0.2384	-0.2409	1.1389	0.6859	-2.2719
2.5217	-1.5568	0.9746	-0.8784	2.7674	-0.5697	-0.0074	-2.6683	-2.0922	1.9827	-0.4601	-0.5580	0.7106	0.0102	-2.1291	0.8245	0.3420	2.1157	0.5569	-2.7594	0.0865	-0.2275	-1.4104	0.7030	-1.3922	-3.2073	1.6905	-0.4484	-0.6177	-1.9049	3.3171	-0.2269	-2.1304	1.2841	-0.4736	-0.8293	-0.1598	0.9691	-0.6810	-2.0061
0.2011	-0.7948	-2.7462	0.3933	-1.8165	1.4973	-1.7216	-0.7622	-0.3771	-0.3840	-0.0818	3.4839	-1.5065	1.3761	2.1787	1.0328	-0.4838	0.9699	-0.0917	-2.8730	0.9820	-1.9773	-0.4419	-0.1096	3.6833	-1.1432	-0.2626	0.5301	-1.9732	-2.4112	0.3310	0.4127	-1.4070	-2.7031	1.7813	2.3003	-0.7063	-0.9991	-3.3264	2.3317
-0.2078	0.9672	1.8363	-0.1898	-0.1741	0.5006	1.5031	-1.1295	-0.1372	-1.0745	-1.8982	-1.0349	-3.2897	-0.6098	-1.2825	0.0927	-2.3589	2.5676	1.4521	-0.5140	-0.5361	-1.7234	0.8314	-0.7245	-1.6709	-0.1109	1.0096	0.2137	0.4012	-0.0178	3.3596	0.0656	-0.1240	1.2105	1.7874	-1.5846	0.3759	-0.9280	0.3666	1.3516
0.5867	-0.5991	-1.7747	-1.7604	3.2462	-0.1876	1.4849	-0.7519	-1.2370	-0.1938	2.7992	0.5033	-0.6930	-0.9749	2.9976	0.0243	2.5180	0.3211	-1.9973	0.2885	-0.4230	-0.2135	-0.1213	-1.1895	-1.6909	1.1985	-1.4930	-1.6052	1.9492	-0.0670	1.0142	1.6924	1.3428	0.0416	0.8841	0.0315	-1.2311	-0.1419	0.1148	-1.1809
1.5799	0.1597	0.2783	-0.9545	0.0473	1.8554	-0.8568	0.1004	0.1697	-0.5226	0.5458	-0.2611	-0.0454	-0.8720	2.1107	-0.7773	4.2095	0.9090	-1.9520	-1.5623	-1.9739	0.6865	-1.1532	0.9056	0.1053	2.8299	1.5940	1.5804	-0.4975	0.0322	0.9800	0.6049	0.8948	0.5201	1.5954	3.2507	-1.8952	-1.0908	-1.4309	1.8726
1.8540	-2.2108	1.1424	-0.8147	-1.4500	2.1396	0.6562	-0.3701	0.3795	1.3086	-0.7889	0.6439	1.5638	-1.7803	3.2823	2.3825	0.3835	0.7875	-0.3654	0.2494	-0.7135	0.6931	-1.2463	-1.0729	-0.2271	5.2129	0.7088	1.1016	0.2759	-0.8129	1.1161	0.8246	-0.7636	0.6910	-0.2924	1.3940	-1.4833	-0.8234	-0.7990	-0.7590
0.6384	-0.7234	1.0606	-1.0362	0.7345	-2.6564	-1.1687	1.1658	3.2041	-2.2350	-2.1997	1.0755	1.0787	2.0228	-0.1454	-0.4821	0.7487	0.3307	0.8866	-0.4346	0.0987	-0.5656	0.9706	2.6335	-1.8436	1.8346	2.1273	-0.4513	2.2862	1.4851	-1.4950	-1.1266	-1.4383	-1.7720	0.0763	-1.4523	1.6680	-2.0523	-0.2532	-0.7764
-0.7397	1.0085	-0.3951	1.2696	-0.1904	0.2348	-0.4872	1.2890	0.5214	-0.2917	0.3619	-3.0153	0.9471	0.1176	1.9566	1.2248	-0.6870	-0.8349	1.1728	0.0844	0.9252	0.1937	2.0437	2.8757	-0.8012	0.4027	-0.4902	0.0666	0.1275	-0.7511	2.5526	0.4915	-1.8912	0.0354	-2.1253	0.9287	1.4568	-0.5636	-1.1071	-0.3762
-1.3413	-1.4272	-1.5479	-0.8288	-1.4269	-1.4571	-4.1614	0.0403	-1.2885	-1.0599	1.6409	-1.7459	3.1771	-2.1830	1.4344	-0.0820	-1.1313	-3.6900	0.6487	2.2043	0.4773	-0.2013	-2.8301	0.1592	-0.0105	0.9183	1.5610	1.0483	0.0332	0.0071	1.1257	0.2351	-1.5203	-1.4902	-0.8063	-0.1304	1.9382	0.0607	1.2296	-0.8746
1.3158	-0.1234	-1.6737	0.2195	-1.2848	1.5864	-0.9851	0.0509	0.6217	2.7002	2.6941	0.9262	0.1460	1.3937	-0.9185	1.0509	1.1326	0.0411	-0.8077	-2.9469	1.2221	0.3214	-0.7584	-1.1254	0.1662	1.0386	-1.4238	-0.5308	1.3493	0.1663	-1.2302	2.7197	-1.1692	-1.9587	0.3324	0.5965	-0.4047	1.4999	-0.6078	1.2194
-0.3258	2.5088	-1.0329	0.7756	-0.0866	-1.3596	-2.7489	0.0130	4.8211	1.6677	-3.2447	0.5758	3.0563	-1.5853	-1.2559	-0.0686	-0.0119	2.8707	-0.4246	-0.8199	1.2945	-0.1620	-0.8727	0.1700	0.8114	2.6981	-1.7218	-0.7509	-1.6791	-0.0603	0.5374	-1.1782	-0.8618	-1.4368	0.7759	0.4789	-0.0583	-0.3052	1.0663	-3.2727
0.0487	-0.9537	-0.0197	0.6989	-0.8536	-0.5822	0.0828	0.9016	-0.5086	0.2703	0.3301	-0.2529	1.5937	3.0130	0.7363	-0.3845	-0.1954	-2.5350	-0.9839	1.5470	-0.1970	0.5227	-2.0990	3.1555	-1.7733	-3.2505	1.1130	0.3639	-1.5295	-1.9883	-2.3624	-0.5090	-1.3828	0.1978	1.0798	-1.7354	0.1315	1.5435	-0.0070	-1.3368
0.4244	-0.6846	1.3011	1.2264	1.8047	-0.3153	-1.0195	-1.1808	-0.7517	2.6840	-0.1762	0.7273	-2.0910	-0.4645	0.8825	-1.0125	0.1175	0.1714	-0.3142	0.9562	-1.1426	-2.2197	-0.9776	-4.1227	2.3659	-0.4417	-0.6649	-1.1562	-0.0313	-1.1668	0.9904	-2.0138	0.4420	1.7310	-0.2926	-0.5556	-0.1869	0.7506	-0.4727	0.3492
0.1575	1.3359	2.8333	-0.4755	-0.2346	0.5407	2.0883	-0.1882	-1.0680	-0.5129	-1.1706	-0.3728	-0.2260	-0.3920	-0.3953	0.6408	-2.6526	0.6000	0.7856	0.1437	1.4645	0.3253	0.6351	0.0109	-3.4875	-1.5165	-1.0156	-1.2373	2.2783	-0.8697	1.5507	-1.1176	0.9031	0.6898	-0.4852	0.3211	-0.6004	0.2998	-3.6755	-1.3479
0.7112	-0.7520	0.2060	0.6311	-0.4200	2.2364	-0.1771	-0.0929	-3.2974	1.6336	-0.0788	1.1986	-0.3323	-1.7889	-0.4605	0.7692	-2.1093	1.1882	2.3256	-0.1511	0.1347	-0.5889	2.1828	-2.5244	-1.8792	0.0935	-1.8124	-0.6821	1.0256	-0.1516	-2.1996	-0.1879	0.5451	-1.8671	-1.3645	-2.9946	-0.5156	0.2626	-0.2640	-3.5571
-1.3641	-1.9801	-0.7754	-0.1861	-0.2981	1.3267	1.8070	0.3082	2.7757	-0.1228	0.9014	1.6014	1.2213	-0.0366	2.4496	0.6298	0.6009	-2.9235	-0.5734	1.0233	0.6786	0.2648	0.1397	2.3643	2.9881	0.8764	-0.1090	1.1109	-3.6176	-2.4776	0.5893	1.2133	0.0266	-2.3194	1.1454	0.6512	-0.6504	1.1360	-0.3102	-0.1611
-0.8652	-1.3210	-0.1802	-2.8924	-1.0795	1.4258	-0.6678	0.7099	1.7951	-0.6431	-0.9505	1.0264	-0.5264	0.3858	-3.7858	2.3161	-0.1186	0.4256	0.2339	-1.1745	-0.2552	-1.2139	0.2140	-4.0588	2.2416	0.1037	-0.7182	0.0487	-1.9109	-1.2022	0.0023	3.4226	0.5788	0.7415	1.1749	-0.1555	-2.4259	-0.9068	0.9829	-0.9079
-1.1273	1.3120	-0.9689	-1.1571	-1.2978	-0.7673	-1.0228	-1.1119	1.5656	0.8678	0.3311	-1.3122	-3.3655	2.8300	0.1827	-0.7551	-1.9206	-0.4995	-2.1690	0.5541	0.1729	-0.0923	2.0685	-3.7834	1.2139	2.7554	3.4115	-0.4551	-1.5793	0.2145	-1.8133	0.5710	-0.5299	0.0592	0.4224	-0.3737	0.3518	-0.7326	-2.5630	0.5370
-0.2446	-3.2173	2.3612	0.3861	-2.0593	0.5322	0.7346	0.7977	-0.5704	-0.0364	-2.2319	-0.1628	1.1439	1.7082	-0.5763	0.1491	-1.5201	-1.3012	1.6014	0.2699	0.6598	-2.8424	0.2732	-0.3578	-0.0816	-0.4166	0.5348	-0.6234	-0.8518	0.4612	-1.2896	-0.9537	3.2155	-2.7434	-0.2099	-1.5374	-1.5397	1.7641	2.2332	0.5565
0.6472	1.6454	-1.4811	1.3266	1.4957	1.7721	1.2549	0.1211	3.1650	-0.1934	-1.6328	0.6222	0.2519	1.6746	1.0694	1.1405	1.9980	1.4920	-0.3274	1.3191	-2.1138	-1.1906	2.0334	0.6591	-0.1123	-1.8445	1.9245	-0.6824	0.1813	-1.2352	2.5427	-0.1502	0.6323	-0.7200	0.6993	-2.2696	1.2159	0.6160	-1.4646	1.3675
-1.2235	0.6879	0.5915	1.5311	0.7218	1.8051	3.5187	-0.5736	2.4256	-1.2589	-3.1353	-0.3024	3.5542	-0.6240	1.0668	0.5146	-1.9903	1.3139	-0.9471	-1.7220	1.2202	0.9676	1.4145	2.5402	-1.3306	0.2412	-0.6118	0.8548	1.8384	1.6671	-0.2612	-1.5036	-1.1937	0.0186	-2.0883	0.7780	-0.0348	0.6492	-0.4295	-0.4106
0.5387	-0.7035	1.2953	-3.3531	0.5610	0.6081	-0.6587	0.2901	0.4774	-0.2809	1.2186	0.3534	0.9372	0.9389	3.7944	-0.2031	-0.2304	0.4652	-2.5391	0.3615	-0.9886	1.5391	-1.2122	-1.5542	1.9501	0.5102	-0.2333	1.5837	-1.3433	-1.2777	0.3467	-1.3113	3.0475	-0.3782	0.7092	0.0348	-1.0908	2.2878	-1.3864	-1.0397
-0.2361	1.0732	-0.8407	2.0156	-0.6449	-0.2831	0.6570	-0.5998	-0.4110	0.9177	0.4788	0.0585	0.6392	-0.9157	1.4113	-1.1843	-1.1996	-1.1635	-0.2972	-2.1990	0.2305	-0.5288	-0.5975	-2.2254	1.1961	-0.0094	-1.6572	1.0282	-1.6438	-0.3231	2.4324	-0.0895	0.5845	0.3681	-3.7307	1.1499	-2.4731	-1.2422	-0.7804	-1.6772
0.0607	2.4956	-1.3807	1.0602	1.2991	-0.3963	-0.7664	0.4625	0.5198	-1.6501	0.6657	-0.4690	0.1490	-0.5336	-1.0167	0.7349	3.1304	-1.5915	1.6592	1.2579	-0.9787	-0.9251	-2.7071	-3.2509	-1.3930	-2.0614	-1.3101	-0.2812	1.3694	1.7816	1.8979	-0.1496	0.6347	-1.0206	-1.6202	0.4872	0.3080	0.9716	-0.4605	-1.9997
1.1563	-0.0351	0.9020	0.0679	-2.2685	-0.3115	0.2670	-0.9371	-3.3342	-1.3888	-1.1463	-1.0596	-2.4399	-0.1694	1.3688	-1.1008	-0.1719	0.6007	-0.7395	1.2433	2.3779	-2.3369	-1.4667	1.3315	-0.3490	0.0541	2.8087	1.8503	2.3001	1.6032	0.1250	-0.7343	-1.2446	-1.6507	-0.2039	2.1654	-2.0815	-0.2854	-0.1316	0.9191
0.1014	1.5426	1.2143	-2.3799	-0.6691	-0.9995	0.9413	0.5812	0.5535	2.0258	1.3877	-1.8361	0.3110	1.4116	3.0753	0.9272	-1.0277	-2.1994	0.1414	0.4847	0.5126	-0.9155	-1.0803	-1.0020	-0.8403	-0.1105	0.2154	-0.2838	-0.6080	-1.9539	-1.9232	2.2207	-0.2891	0.6387	-1.9687	-1.6619	-1.0877	-1.1007	0.5388	-0.7039
0.5340	0.0884	0.6916	2.3513	1.0345	1.2330	2.0974	-0.7629	1.2928	1.0973	2.4411	0.8773	-0.3128	-1.0119	0.0500	0.4916	2.5202	-0.5230	-1.3071	-1.0067	-0.1381	0.5731	-0.7824	-0.6723	0.2670	1.1567	-1.6181	0.4804	0.4989	-3.0954	-0.3748	-1.1637	0.5398	-0.1667	-0.9616	0.4973	-0.5679	2.0651	-0.1783	0.3415
-1.9854	1.4032	-0.6585	2.5928	-1.6267	1.2004	-2.2118	-1.8019	3.2052	-0.1894	-2.5571	-1.3687	-3.1890	-1.4492	0.6194	0.4181	3.0671	0.1270	0.1220	-1.5490	-1.8081	2.5958	3.3107	-1.3000	-0.2660	-1.4148	0.0298	1.3932	0.3086	1.6095	-0.2577	-0.1165	0.3186	0.5561	0.7911	-0.8272	-0.1404	-0.9029	1.4802	0.0092
-1.4009	-0.6284	-1.0853	1.2324	2.5650	0.6383	3.9054	0.6143	-3.3912	-0.6020	0.0138	0.3478	-1.6612	-1.1292	-0.0589	0.2422	-0.9824	1.3785	0.6160	1.2334	0.9416	1.1826	0.0738	0.0697	-0.7311	-2.4271	-0.6772	-0.6920	-1.5399	-0.1254	0.9442	-2.4461	1.7638	1.7369	-1.9780	1.6833	-0.9035	1.3804	1.7446	1.1339
-1.1037	0.7714	-2.5960	-1.3368	0.4196	-1.5142	-0.3787	-0.1903	1.5703	1.7098	-0.4597	-0.3358	0.2255	-1.6429	0.8832	-0.0484	2.0409	0.0596	0.6179	1.3205	-1.1247	-0.0086	-1.7402	1.5499	0.0173	-0.1659	-2.0841	-0.6732	1.4068	-1.3146	-0.5429	-1.6652	-0.0038	0.5829	0.2492	-1.5446	-1.2363	-0.5662	-2.2880	2.2929
1.0039	-1.6598	-1.6410	-1.4184	-0.4873	-0.5790	-0.7745	0.0411	-0.5937	0.0502	-0.6023	1.0284	-1.3668	0.8800	-2.5845	0.2569	0.3703	-0.9972	-0.0397	1.7835	-0.4539	-2.6894	1.5898	2.8772	-0.8743	1.1790	-0.0039	1.7899	0.3237	-1.3322	-1.7066	1.9381	3.5900	0.5448	0.8173	-0.6935	-2.8452	0.3113	-0.1275	0.3893
0.5836	-0.0428	1.3777	0.2761	-1.7082	1.5945	0.3809	0.9040	-0.2620	0.4621	2.6268	-1.3457	1.3197	1.2033	2.3622	-0.8313	0.2623	-0.9139	-2.7649	-0.3496	-0.4547	2.3496	-1.9210	1.3368	-1.2478	1.9816	1.2145	0.4297	0.7162	1.0831	2.8009	-1.4687	0.2176	0.1951	-2.0983	-1.2274	-2.6395	0.5967	1.4579	-1.1425
-0.1236	-0.7678	-0.2476	-0.3964	1.2498	-0.9387	1.1924	1.3111	-2.6555	0.3225	-0.6707	0.6911	0.6938	-1.4702	-1.6310	0.9671	3.4324	-0.5901	1.0010	1.4230	0.0308	-0.4055	0.5294	-1.4902	-0.4217	0.2683	1.2868	-1.1708	-2.9439	1.3625	2.2240	-0.6713	3.3078	0.3047	0.3823	-2.1664	-0.9506	-1.7031	1.4291	2.0793
-1.0288	-1.3573	0.7059	-0.3108	-0.5053	1.0790	-1.2646	0.6128	-0.3340	-1.6194	-1.2623	-0.3096	0.3355	-1.5240	0.9835	0.0756	-0.4194	0.1479	0.1325	-0.5869	-0.2455	-0.0689	-1.4305	-2.9426	2.6503	0.6020	-0.4365	-1.1283	1.0670	-0.0612	0.9623	-0.3670	-2.1575	1.8219	-2.0172	-1.1809	-0.4998	-0.5573	1.9800	-1.7841
1.1725	0.1520	1.0054	-1.8190	-2.0956	-0.7345	-0.1375	-1.4455	1.7949	-1.9274	1.3467	-1.8540	-0.0096	2.2339	-1.3602	0.5020	-2.4636	-2.4970	0.4741	-2.1179	-0.2295	0.3529	-0.5845	-2.5460	-2.7241	0.5510	-0.2166	-0.4198	2.4367	-1.7831	-0.1084	0.7434	-0.5464	0.1950	0.9077	1.6101	1.5335	0.1723	-0.2393	1.2649
1.0272	-1.2253	2.6305	-0.7784	-1.5467	-1.2177	2.5183	1.0437	1.9802	-1.3389	-1.6170	1.2136	1.0946	0.6616	1.7050	0.9299	1.3532	1.7419	0.0334	1.0705	1.2647	1.3459	0.1474	-3.0651	0.1229	0.5491	-0.3310	-1.2531	1.3474	-1.2400	2.7234	0.8126	2.0201	-2.9539	-0.6494	0.3825	0.3025	-2.1454	-1.1793	2.4629
0.4001	1.2272	-0.0761	0.2610	1.4577	-1.1614	-1.6378	1.2358	-2.7959	-0.1414	3.6053	-0.1259	-0.0395	0.7763	-0.9322	-0.6919	-1.2548	-2.5970	-0.4210	-0.9097	0.8329	0.1421	0.4326	1.5464	-0.4898	-0.4822	-0.2478	-1.1503	0.8597	2.0945	-2.4423	0.0928	-0.4485	0.0176	1.3727	0.0521	0.5740	-2.0315	0.9583	-0.6530
-0.4594	-0.2240	0.0545	-1.0230	-0.3762	-1.5519	0.7776	0.9784	-0.5304	-0.0291	0.6773	1.0092	-0.0043	0.1547	-0.8170	0.3543	0.7230	2.4343	0.2849	0.5868	-1.3908	-0.6482	-0.1037	-1.0755	-0.9648	-0.1519	-0.3395	-2.8449	-1.7301	-1.3681	-0.8339	0.7325	-2.0226	0.6887	0.9838	-0.3470	-1.1179	-2.9803	-1.3184	1.4292
2.0783	0.3692	1.5000	4.1203	0.7868	0.5717	3.3186	-0.4423	0.2277	-1.9855	1.7489	0.0424	0.2519	-2.3433	-0.1360	0.3224	0.0445	1.6110	1.4123	1.5784	-3.1266	-0.5948	-1.0186	0.7222	-0.4068	0.0729	1.5651	0.5324	1.5309	0.2424	-0.6114	-0.9391	-1.3317	-1.2841	1.0560	-0.3588	0.7987	-0.5797	-0.0119	-1.0396
0.8525	-0.8239	1.8039	-0.7222	0.3618	0.2598	-0.5131	-2.1579	0.8487	-0.9358	0.8215	-1.0850	1.8909	0.0365	1.1417	-0.1603	0.3506	-1.6826	2.6562	-0.6293	1.9627	0.7348	0.4381	-2.1256	-0.4233	-1.1779	3.8649	-2.2150	3.5979	-2.2915	-0.5311	-0.7745	-0.0603	-1.6483	2.1628	-0.8020	-2.0185	1.1754	2.4504	-1.3208
-0.9140	1.5377	-0.0439	-0.3052	0.8445	0.1160	-2.9343	0.4062	-1.4988	2.2756	-0.9609	0.6962	0.6044	1.5964	0.2659	0.2674	-0.1506	-1.0445	-0.3329	-0.2290	1.0835	0.5701	-2.1000	0.3718	-0.9729	1.1637	1.8068	0.8464	0.6501	0.1700	-1.0958	0.2598	1.7521	0.3679	-0.1451	-0.6289	-0.6878	0.0963	-0.2323	-0.9582
1.3195	1.7558	-2.4190	0.7111	1.1373	-1.2964	-0.1552	-0.5705	1.3974	0.3301	0.6168	3.9318	0.3213	-0.1143	1.2166	-0.3311	2.1393	1.6944	-0.2309	0.8690	-1.9698	-1.3020	-2.0598	1.2106	1.4567	1.7362	-0.8449	-0.4215	-1.7646	-1.3835	1.8045	1.9584	1.8849	0.1597	-2.5579	-1.8431	0.1767	-0.8539	1.8195	0.8888
-0.4447	-0.2858	1.5745	-1.0116	2.8978	0.0798	3.6533	0.0599	0.2965	2.5558	-1.1762	-1.3876	0.6487	0.2080	-2.5946	0.6681	4.1154	0.4586	-1.9503	0.8884	2.5399	-1.2719	-1.1224	-1.0159	-0.8599	1.6912	2.0459	0.7614	-2.0483	2.0366	-1.1018	-0.0531	0.4702	-0.2162	-1.1229	-1.5235	2.1226	1.2972	0.6629	-1.9061
1.6821	-0.8814	1.1203	-0.8159	-1.1389	0.8422	2.0666	-0.3370	-0.3877	-0.8334	2.0709	0.2996	-0.7612	-1.1513	-0.1308	-0.3062	-1.0675	0.8909	-3.4971	1.5202	-1.4360	-1.1789	1.6052	-2.9905	1.8280	-3.2900	0.1476	-0.1705	-0.5450	-2.2105	1.6905	0.0391	2.4265	0.5861	0.5804	1.1696	2.5102	0.0438	1.1257	-0.4980
