X2	X3	X4	X1	X5	X6
-0.2267	-2.5012	-1.1405	-3.0754	-3.3020	-1.0756
-0.2044	-1.2660	-1.4594	0.9423	0.4690	0.3350
3.0205	3.3030	0.6341	5.5053	2.6287	-3.4622
0.6792	-1.8068	-0.9816	-0.3700	-0.0670	-0.0759
0.2063	2.1389	0.1307	2.9736	3.2655	-1.5691
-3.4607	-5.0669	0.5617	-6.6097	-5.2835	-0.3324
1.4494	4.3740	2.0528	4.7029	5.0160	1.1322
0.4393	0.4126	-1.1187	3.6136	-1.7548	-8.7089
-4.4400	-5.4149	-0.8985	-6.1824	-6.2995	0.0158
1.7483	2.1951	-0.4286	3.3007	3.4576	1.6311
-0.5192	-1.4478	-0.2342	-2.0983	-2.3436	0.1345
3.4855	2.8308	1.3359	-1.0732	3.9005	6.6809
0.2844	-1.3915	-1.2555	-2.2074	-4.2437	-5.2555
-0.1370	-0.3700	0.2180	-1.4429	-2.2369	-1.2694
-0.2899	-0.1907	-0.3172	0.1749	-1.4793	-2.6625
1.9313	2.1873	0.2762	0.8500	0.9498	-1.5770
0.4695	-0.9753	-0.8358	-2.7420	0.3351	6.0634
-1.5062	-2.3269	0.0172	-4.4479	-1.3418	3.0992
1.5073	3.9384	2.4415	4.2491	1.2627	-4.8368
0.1885	3.1446	1.7619	2.7406	3.2692	3.7393
0.2202	1.2607	0.0525	-1.7948	0.7352	1.6103
-0.3758	-0.9121	-0.6656	-0.2409	0.8902	3.3163
-0.8306	-2.5384	-1.1516	0.0383	-0.8466	-2.0245
0.6887	0.2462	-0.4459	2.3066	1.0670	-1.3464
-0.0204	-0.0481	-0.2924	2.0716	0.0118	-0.0357
1.8111	2.8792	0.1974	4.1568	3.1952	1.5927
1.8575	1.8782	-0.9774	1.3057	3.8825	2.7736
2.3341	1.9362	0.0927	1.7085	3.4750	2.4689
0.8366	3.1402	1.1933	2.0749	0.0894	-3.4183
-0.9335	-1.1397	0.9479	0.4985	-2.0301	-2.8696
0.8122	0.5836	-0.9623	0.5213	2.0391	2.2766
0.3987	0.4845	-0.2451	-2.9684	-0.2040	1.7884
0.1126	-2.4995	-1.2434	-4.7218	-1.7909	1.1277
2.0221	-0.0324	-2.8064	-0.2138	-0.3643	-2.5162
-2.0749	-0.9747	1.2939	-1.7553	1.8837	6.9759
-0.4687	0.0034	1.1128	-0.0311	0.5057	0.1318
0.5204	0.8240	-0.9413	-0.1128	0.8490	1.7930
-1.9141	-1.8318	0.2743	-2.8665	-5.3428	-2.9954
-0.5951	-0.0106	0.9404	0.8038	-0.9439	-3.9067
0.5752	0.4295	-0.0059	-0.5387	-2.7189	-3.5094
-0.1264	3.3603	2.9529	4.7462	1.1648	-3.4735
-0.9705	0.5475	0.5091	1.6394	0.3229	-3.5121
2.3311	4.9755	1.5992	5.1092	5.6415	3.3015
2.0469	6.3066	2.0612	6.4990	4.5142	-2.9565
1.4315	2.4000	0.6658	2.9029	3.6159	3.9395
-0.3980	-0.2952	0.4575	2.0384	-0.3394	-2.5086
-2.3444	-1.3079	1.2736	-0.2878	-3.0420	-4.4508
-1.7642	-2.9191	-0.2038	-2.2553	-1.5347	0.6784
-0.5021	-0.6307	-0.0485	-0.0490	-1.8053	-0.9398
-0.0825	1.8927	0.8624	-1.4889	1.8324	4.1653
0.2348	-1.0326	-0.8887	-1.9629	1.8587	5.4932
0.2440	-1.6782	-0.3649	-2.5475	1.4502	2.2885
-0.2744	-1.9997	1.0253	-4.1833	-1.6300	2.1109
1.4038	2.7439	0.5170	3.8509	1.5954	-2.2326
0.1163	0.0202	0.0875	0.0847	-2.0852	-2.7748
-0.0785	0.0864	0.0153	3.0030	-2.0496	-5.1901
0.4629	2.1482	1.4080	2.4827	1.6965	-2.9290
1.0814	2.3157	0.5550	-0.5430	-0.2108	2.5312
-3.3610	-5.4803	0.5985	-6.2027	-4.6745	-3.7506
-1.4735	-4.1150	-0.1330	-4.6157	-4.6834	-0.2329
-3.5340	-4.1565	-0.5324	-6.1536	-9.1083	-5.8830
-0.7099	0.2603	0.4729	2.3303	3.2383	2.5198
1.3678	-1.7641	-1.3380	-1.3799	-4.0057	-1.5888
0.6271	-1.2915	0.4008	-0.6476	-4.8445	-5.5195
-1.2734	-2.8941	-2.5818	-4.6463	-4.0202	3.4227
-1.1085	-3.4118	-0.4102	-3.1180	-1.3366	1.4410
-0.1693	-1.5932	-0.4522	0.9239	-0.3006	-3.9843
0.7733	1.1850	1.3972	3.4251	-0.7799	-5.6901
0.7579	-0.8761	-1.6929	-0.7766	-2.1622	-1.5048
-1.3399	-2.8700	-1.1506	-3.2015	-4.5016	-2.9365
2.0076	3.3248	0.5374	3.9287	0.2453	-2.3830
-4.6802	-4.0939	0.7516	-4.1724	-0.6860	3.6057
-0.5025	-0.6754	0.4318	-1.4288	1.0274	3.8788
1.3167	1.6614	1.4241	-1.6986	2.7625	5.1019
0.2701	-1.0896	-1.1346	-2.9965	-1.1812	-0.8660
-1.3694	-2.9938	-0.0256	-2.7087	-2.9073	-4.4329
0.7248	0.9569	1.7407	2.1309	-0.5240	-3.2092
-5.1721	-7.9039	-0.1583	-7.9421	-5.4201	4.2734
-0.6594	-0.5540	0.4382	-1.1463	-0.3792	1.7110
0.6329	0.9222	0.6429	0.4658	0.0442	0.5837
-0.0081	0.0779	-0.4890	-0.3369	-3.2289	-2.6062
-1.5600	-2.3563	-0.0030	-3.0000	-3.9951	-0.9221
2.9103	5.9372	0.9081	6.5768	4.8733	-1.4327
1.0477	0.8004	-0.9503	2.1024	0.8324	-1.6025
3.0021	3.6613	0.1805	5.1986	0.8915	-7.8144
0.5246	-1.3412	-0.7279	-0.8980	-0.3479	-1.3418
2.9880	0.4060	-1.0337	1.0568	0.5081	-0.2950
1.8778	5.0401	0.1356	5.6535	4.8755	-0.4558
-1.3368	-3.2475	-1.5163	-0.1442	-5.9005	-6.1701
0.8203	2.5720	0.4978	1.9108	3.8181	4.3122
-1.6725	-1.4534	-0.9412	-0.9260	-0.2568	-1.1890
-0.9870	0.3578	1.9870	1.3310	-2.1326	-6.7919
0.8992	4.2480	1.5843	4.7167	1.6370	-4.3462
-0.1843	0.2141	-0.2916	-0.5130	-0.3142	-0.6804
2.0461	2.3790	-1.1081	0.4248	1.2810	2.9085
2.0039	3.1291	1.0970	3.5685	3.1089	-2.2483
0.8195	3.4077	1.3658	2.0051	4.3880	3.2337
-1.2420	-2.6493	0.6695	-0.7568	-1.9243	-2.4324
1.4251	0.5267	-1.8888	-2.5807	-0.9577	3.4460
-3.4488	-2.7356	0.0474	-3.8126	-3.2221	-0.9271
-1.0417	-1.7825	-1.2494	-4.0730	-1.6322	0.6009
1.7201	2.1712	-0.2051	3.7702	1.6661	-0.2183
-2.5996	-3.2628	0.3609	-4.5351	-3.7460	2.0472
-1.0727	-4.4344	0.1379	-4.7624	-5.8535	-0.0502
0.3188	0.7273	-0.4851	-0.5812	-1.2745	1.4254
1.7120	1.6632	0.5102	1.6535	1.2685	-1.1056
2.0779	2.1913	-0.0770	2.0302	4.9469	5.0268
-0.5393	-3.4752	-1.1294	-4.0132	-6.2490	-6.9521
1.4834	3.3503	-0.2362	4.4338	2.9884	-2.2430
2.3302	-2.0196	-1.7579	-4.9042	-1.6886	3.0261
-1.2156	-0.1233	0.1346	2.8606	-0.2174	-3.1457
1.0920	5.4767	0.5083	8.3820	3.4470	-4.7994
1.7641	2.6228	0.8298	2.4632	0.9866	-3.6065
-1.3003	-0.7395	1.4582	-2.0266	-1.0099	-0.4712
-1.0874	-2.1808	-0.3806	-1.8073	-2.0258	-0.0881
-0.5358	-1.8307	-0.3752	-3.3421	-1.5101	0.3810
-0.9692	-4.3105	-0.2196	-5.7869	-0.8131	5.5623
-0.2981	-2.8496	-1.1083	-4.7384	-1.4066	3.3770
0.3115	-0.4388	-0.0039	1.3922	-1.3774	-4.6668
-1.3066	-4.0005	-1.1270	-7.5653	-6.3950	-0.5023
-0.8062	-1.1361	-1.0199	-2.4353	-3.8412	-4.5635
0.0804	-3.0816	-1.8387	-2.8084	-3.5657	-1.1291
-1.7434	-2.2469	-0.0539	-2.5904	-0.5234	2.6912
2.1231	5.3266	1.1364	3.3913	0.7877	-4.6196
-1.3902	-5.3257	-1.8399	-6.2906	-3.1588	0.9604
-0.9410	-0.2447	0.2102	0.9345	-2.3424	-4.1626
1.0531	2.2649	-0.3611	3.5633	3.6374	2.4314
-1.1608	-1.7733	-0.5550	-1.4575	-1.5878	0.2684
-0.3049	-0.4364	-0.0335	-0.0801	-1.4958	-3.4630
-0.3596	-3.7313	-2.0112	-1.1758	-4.8284	-1.4685
0.8634	0.4158	-0.7891	3.2084	-0.6461	-5.7592
2.2269	0.1199	-1.3353	0.8729	-1.9801	-3.9205
-2.7484	-0.2242	2.0963	-3.0963	-0.1466	6.2702
-0.6650	-0.2255	0.3312	-1.7375	0.6495	0.7182
0.8073	-1.1890	-2.3424	-1.9190	-2.2867	-1.8304
-0.4978	-3.2023	-1.8232	-2.7360	-2.8649	-3.5128
-1.0239	-1.2172	1.5416	-1.4260	-1.8256	-0.7222
1.5333	-0.4305	-0.5755	0.0518	-2.2206	-2.1020
-1.7108	-3.0221	-0.0666	-2.7386	-0.0381	2.0717
1.7891	3.3712	0.6695	4.2945	1.7724	-1.5003
0.4166	1.9178	0.6377	0.8969	0.2946	1.3200
1.4237	2.1004	-1.7290	2.8079	0.9105	-1.9383
0.2049	-1.1407	-2.0179	-0.7377	-1.3751	-0.8573
1.0414	-0.4916	-2.1151	0.3095	-1.2730	-2.6670
1.6210	1.7429	1.1430	1.8797	3.1291	4.3137
0.7296	-1.6498	-1.8632	-4.0637	-0.6674	6.1245
-1.6266	-3.0275	0.6736	-1.6095	-4.4762	-4.9763
0.8184	1.6831	0.7703	2.6647	2.8808	0.3860
-0.7652	1.2171	0.1617	-1.8347	1.5297	2.3330
-3.4783	-2.7467	0.2697	-1.6741	-1.1860	-0.8920
1.4170	-1.5114	-1.7205	-2.3873	-6.2975	-7.7573
0.0336	3.8816	2.3564	1.5801	2.7010	2.6531
-0.8516	0.2315	1.4392	1.7992	1.2744	-0.0461
0.0490	2.9200	0.4556	2.8333	3.6777	0.4265
2.4544	3.7153	-0.0274	2.9459	5.0580	5.1888
-1.1476	-2.6837	-0.6499	-4.8956	-3.7008	2.1141
0.5571	2.6382	1.1890	4.5138	2.7863	-3.2329
2.4266	3.1381	-0.8120	4.2381	2.9594	0.5241
-2.1893	1.0887	2.5445	0.1642	5.8939	9.0896
-1.4172	-3.5133	-0.4294	-2.9364	-2.0358	1.4602
1.9191	2.6741	1.4067	3.9556	0.4065	-4.6355
1.7839	-0.7154	-1.9235	-1.4019	-2.3905	-3.7529
2.2573	2.1448	-0.4021	0.7755	4.1654	7.6389
1.7342	0.1595	-0.3600	0.2484	-1.5517	0.0260
2.1895	4.1884	0.4110	4.4168	1.6689	-2.6136
-1.5801	-1.2980	1.3184	0.6578	-2.6095	-1.6303
-1.7304	-1.4337	-1.0278	-2.3872	0.1836	4.7376
1.1084	-0.6753	-1.7156	-0.5914	-0.3430	3.2893
0.2997	3.1651	0.8908	7.0166	2.2722	-4.6643
0.3183	-1.0902	-0.8602	-4.4348	-1.5271	4.4272
1.3722	0.1096	0.3995	0.8369	0.6028	-2.3003
-1.3893	-2.1714	-2.2070	-3.3082	-2.4483	0.5868
-0.0597	-1.5058	-0.2849	-0.0279	-1.5059	-0.6636
-1.3711	-1.7908	-1.0864	1.0346	-1.8719	-1.5560
4.8783	4.8151	-0.1506	6.1119	1.9063	-5.3050
1.6250	2.4227	1.1546	4.3110	2.0977	-3.8306
2.0679	2.5012	-1.7387	4.3914	0.9295	-4.2866
0.6590	0.0957	-1.2155	1.8641	-1.1904	-7.3561
-1.1593	-2.8976	-0.9123	-5.3181	-1.8217	3.3787
-3.0325	-4.6589	-1.6297	-2.4560	-1.7450	2.6750
0.2516	2.0093	0.7264	3.1893	2.7045	1.2058
0.7334	-0.0151	0.8520	2.1496	-1.9313	-4.2602
-0.4052	-0.1056	-0.9403	0.0753	0.6137	1.7824
4.7373	3.1054	-1.2562	2.7679	3.3684	2.5127
-1.2707	-1.1575	0.9421	0.3493	-1.9655	-3.4162
-0.7928	0.2358	0.7606	1.9835	-1.1779	-5.6587
-0.4313	-1.3555	-0.2339	-0.4493	-0.2768	-3.0718
1.3043	1.6545	1.4590	2.1994	0.1184	-0.4139
-0.6863	0.8922	2.2625	1.8031	3.1865	2.9421
-0.9423	-0.3452	0.0958	0.0497	-0.7586	-2.7278
1.1091	0.7016	-0.7321	2.0615	1.1107	-3.1840
-1.1341	-3.7949	-1.0894	-1.1101	-1.6906	-0.7651
0.3932	1.5162	-0.1029	-0.9902	1.1935	2.5659
-0.5079	-3.3934	-1.6250	-5.2058	-4.0973	-0.3729
0.4395	0.0380	0.5443	-1.2772	0.3350	2.8978
0.2944	-2.3371	-1.0451	0.4617	-3.4064	-6.5371
0.9181	0.9403	0.5900	3.6123	2.1133	-1.2464
0.7465	3.6708	0.5808	3.5191	4.1647	3.7341
0.2870	-0.1916	-0.1028	1.2463	1.2257	0.3187
0.7938	-0.7802	-0.7153	0.1455	-0.7344	-0.5290
0.8796	2.0362	1.5658	1.7525	2.1854	2.1394
0.9542	1.5869	0.1612	1.1203	3.9596	3.9005
-0.6526	3.0236	1.2873	3.3098	3.6621	2.3226
0.8890	1.1398	-0.1128	1.4896	2.3277	1.1735
1.6490	3.3089	0.2649	3.3551	4.1548	2.6408
1.5222	2.3579	0.0860	3.5771	2.7557	-1.9556
-2.5829	-3.9147	0.2601	-5.5126	-1.7099	2.6371
1.0413	-0.6373	-1.5904	-2.4271	-0.5613	-0.5270
0.1632	1.6247	-0.1654	4.3970	2.9751	-4.2213
-0.0757	0.7304	0.8000	1.4211	-1.6448	-3.2362
2.1022	0.7154	-0.6922	1.8105	1.6943	-0.9616
-2.1795	-4.4538	-0.2069	-5.3395	-4.5990	-0.0886
1.4268	2.4102	0.5815	4.9773	2.0016	-3.2657
-1.8871	-0.7048	0.0817	1.6819	2.9700	2.5464
0.2974	-0.0200	-0.1508	1.1533	3.3528	1.1300
-2.3284	-3.6514	-1.2650	-2.5914	-2.2924	-1.6594
-0.7939	-2.9186	-1.0276	-1.3945	-0.6066	2.7418
-2.7987	-3.2347	-0.0859	-1.5676	-3.1552	-0.5859
-1.1224	-1.3253	-0.9280	-3.2156	-0.7883	3.4760
3.0438	4.2007	-0.7771	3.6980	1.9920	-0.9148
0.1033	-1.3408	-0.3751	-1.0572	-2.1965	-3.0612
-0.7985	-0.0770	-0.0906	1.8347	-0.4590	-2.4962
-2.0573	-2.8556	-1.4911	-0.4820	-1.0229	0.7622
1.3926	-0.4582	0.1953	0.2424	0.6744	-1.1900
-1.1663	-2.6072	0.4641	-1.4384	-1.9253	-1.7103
0.9956	2.1453	1.8839	2.5926	0.9848	-2.9125
1.8364	2.8014	-0.4059	3.8516	0.1745	-4.5588
-0.0156	3.4015	2.0760	2.3469	2.3389	4.0187
-0.4006	-0.3953	0.2885	1.2503	-0.0468	0.5903
1.0622	0.5990	0.3595	-0.0239	1.8604	3.6353
-0.1377	-2.5446	-0.1672	-0.7547	-2.4504	-4.1024
-0.1606	1.7175	2.3262	2.5423	3.0301	-0.6775
2.4065	1.7631	-1.3982	1.8739	4.3692	5.6701
0.0166	0.0952	-0.1678	-1.9112	-1.9185	1.3938
0.2446	-0.5791	-1.8427	1.4084	0.3033	-3.2096
-0.3471	0.8705	0.6640	-0.0588	0.0547	2.8683
2.5624	3.7742	-0.0376	4.3104	5.5065	1.8524
5.0141	5.1206	-0.3202	7.9564	4.1951	-2.9603
-4.6321	-7.7460	-1.6283	-10.5187	-5.4346	7.3749
0.3203	-1.7372	-1.6585	-1.9610	-1.8510	0.3024
-2.3348	-1.2267	0.6503	-2.3481	0.5570	6.6970
0.7050	0.0507	-1.2657	-0.2775	2.5613	5.6397
3.7765	3.5139	0.2048	2.0377	2.9900	0.7328
0.4853	3.4265	1.2471	2.0757	5.6965	7.2175
0.5196	-0.4815	-1.1120	-1.7206	0.9827	4.7683
-0.3227	0.9732	-0.0787	1.4700	-0.1141	-2.2339
-1.2762	-0.7036	-0.3573	0.7830	1.5150	0.9883
-0.3776	-2.3104	-2.8002	-0.0836	-0.2740	1.2463
-2.4036	-1.4885	1.1823	-4.5743	-0.8433	3.2962
1.1176	-0.4761	-0.4111	-2.2276	0.4009	2.8292
0.1587	0.8779	0.6376	0.0892	-0.6200	0.6980
-1.5486	-1.7746	-0.1006	-1.4393	-0.0062	2.4303
0.9708	-1.6507	-0.3722	-3.7979	-4.5336	-5.4124
1.0783	0.7096	0.3773	-0.7172	-0.3505	-0.3462
0.7845	0.4120	-0.3530	-1.2348	1.7421	4.2687
1.1033	0.9517	-0.9086	2.8731	0.1404	0.4047
-1.8239	0.1895	1.5151	1.7408	-0.0361	-0.8395
1.3829	3.0142	0.0983	1.2708	-1.5070	-7.3594
-2.7056	-2.7979	0.6703	-3.8611	-2.0391	-0.9456
-1.4360	-3.3616	0.0352	-3.7423	-3.1082	2.2037
-0.2261	-0.9330	-0.6973	0.7347	-2.1136	-4.3981
-0.3952	-2.9894	-2.4445	-2.0301	-4.7290	-4.2337
1.4137	0.5026	-0.2230	0.3074	2.0825	3.4756
3.0123	4.4980	-0.3328	3.4984	3.6938	3.2515
-0.7037	-3.4233	-1.4267	-2.5276	-3.5679	0.9820
2.7592	2.2286	-0.3575	3.7753	4.3488	1.4906
-1.5837	-1.5561	-0.0234	-4.3888	-1.6050	2.6758
-0.5587	-3.5836	-1.0516	-6.0063	1.7260	6.9188
1.5992	3.9946	1.2801	1.7709	2.9153	1.6159
1.3565	4.7200	1.2264	3.6811	5.1490	2.2106
1.4173	-1.0414	-2.2892	1.1232	-2.9631	-5.6479
-1.0700	-1.3857	-1.7027	-0.6345	-3.7456	-3.2897
1.0177	0.3970	0.4006	0.1138	-2.6638	-5.5007
-1.9169	-1.7453	-0.2052	-1.0172	-0.0757	0.3712
-0.7864	-0.0819	1.2951	-0.3780	0.6293	2.1388
-0.5463	1.0630	0.2824	3.7391	1.6245	1.4292
0.8980	1.6827	0.5242	1.3435	3.2536	3.7725
0.1388	1.0500	0.2359	4.4354	0.2630	-4.8984
-1.1056	-0.1439	0.4393	-1.0890	0.5300	4.1428
-0.5862	-0.1101	0.6195	1.4524	-0.9945	-2.5727
0.1369	-0.4583	-1.0053	-1.4008	-0.9008	4.4771
0.8967	2.5378	0.9847	2.0724	3.6925	0.6407
-1.6417	-0.0710	0.5974	-1.4560	-3.2223	-6.0650
-1.3945	-2.3355	-0.2077	-3.3468	-2.0724	2.2908
-1.8846	-2.6888	-0.7848	-4.8562	1.5462	9.7309
1.0040	-0.2398	-1.2206	0.0368	-0.8111	-1.6658
0.4706	-1.0323	-0.7397	0.0704	-3.8651	-2.3353
-2.4207	-1.5793	-0.4054	-1.3880	0.1210	1.5724
-1.7125	-1.2543	0.6262	2.7750	0.8977	-0.7005
-1.4219	1.2071	2.3211	4.1123	0.4214	-6.0782
1.5627	3.3500	0.3580	4.7351	3.5325	1.1219
2.5569	2.0352	-1.5552	-0.1784	4.7074	6.0504
-0.5562	-0.2668	1.1728	1.1135	0.7670	-1.1862
-0.1922	-0.7803	-0.1529	-0.3156	-0.8429	1.0647
1.1809	0.2356	-0.6128	0.4636	-3.4794	-8.4566
0.7730	4.3805	0.3283	5.7233	1.0199	-4.6785
1.0538	3.8566	1.2323	5.3447	1.0517	-3.4465
2.5100	0.9899	-0.7851	2.4240	-1.0045	-1.1386
2.6129	3.7497	0.3980	3.6889	4.6256	1.1035
1.0102	2.4465	1.1583	3.3997	-0.3877	-3.7567
-1.6928	-2.6406	-1.2445	-2.1160	-4.3805	-3.0850
-1.0348	-1.8393	-1.1190	-2.5924	-0.0236	1.0833
1.9943	2.8118	0.0794	3.8826	3.5194	1.2957
1.1538	4.2112	-0.6118	4.6536	4.7583	-0.7932
-2.8638	-5.5660	-2.0061	-8.2478	-2.2447	5.8108
-1.1031	-1.1448	-0.2148	-2.8517	1.7429	4.7141
2.8727	3.2622	0.5389	3.2131	4.4713	3.2750
-0.9847	-0.3828	0.0566	-3.2248	-0.7913	3.3743
0.1789	-1.3727	-0.8167	-0.5408	0.6437	0.5611
-0.9859	-0.3139	0.2226	0.9599	-2.3910	-3.4769
-0.0414	1.7604	-0.2779	0.6595	1.6277	1.4909
-0.3334	2.0838	0.7406	3.9035	3.0126	1.4547
0.3549	4.5676	2.5125	4.2391	5.3559	4.3789
0.6994	0.2070	-0.3817	3.4322	-0.8369	-7.8124
-1.8158	-4.6392	-1.5220	-8.8039	-7.3693	-0.8625
1.6403	1.6046	0.1991	3.3198	-1.3721	-6.2244
-1.9305	-0.6623	0.1659	0.0333	-2.4870	-3.3304
0.4527	-0.0546	-0.8610	-1.0903	-0.8997	1.1812
-1.1934	1.0946	-0.0706	-0.7553	2.5554	4.6602
1.2142	1.8876	-0.3733	4.6065	-0.1935	-7.2551
-1.9443	-2.7237	-0.2798	-3.8733	-2.3972	0.6339
0.9200	1.5012	0.0350	1.2273	0.3252	0.0942
0.0640	-0.6729	-0.3073	-1.0230	-0.6336	3.9757
1.9041	2.7725	0.3324	1.9510	1.4807	-0.4708
0.0450	-0.0003	0.0452	-0.0488	1.4268	1.8353
-1.0235	-1.9374	1.1827	-5.4588	-3.6466	4.2663
-1.3360	-2.6980	-1.2022	-4.3755	-4.0021	0.0875
-1.2800	0.3923	0.2862	-0.7057	-0.4674	1.5762
-0.4700	-0.7154	0.6373	1.9813	-2.6178	-9.4118
2.8145	2.7697	-0.7606	2.8797	3.4490	-0.3621
-1.8425	-1.1203	1.1750	-1.1581	1.5680	6.2579
-1.4506	-4.7831	-1.7269	-6.3570	-4.1566	4.7443
-1.0420	-0.6121	0.3337	2.5459	-1.2452	-5.6803
1.6386	3.6350	2.2276	4.0823	1.3632	-3.9257
2.1586	5.9614	2.1437	7.0945	2.5399	-2.2554
-0.4780	-0.2305	0.4431	-3.8988	1.2954	6.3016
1.3129	2.2306	0.4786	0.6111	3.0607	4.6151
1.7685	1.6979	0.3953	3.7943	0.3146	-3.8492
-0.1666	3.9287	1.2930	4.2475	2.3416	0.1631
-1.3355	0.2131	-0.1059	-0.5433	3.1799	6.0867
-1.3484	-0.9906	-0.5381	1.4353	1.2480	-1.0635
-1.7788	-1.4339	-1.0841	-3.6062	-1.7447	0.4186
-3.0538	-2.9175	0.4302	-2.7828	-3.0351	-1.7212
-3.2803	-5.5513	-1.1370	-6.3482	-4.0527	1.5083
0.5291	1.4359	1.9069	0.0592	0.5773	1.1513
-1.2850	-3.0715	-0.6277	-3.7361	-4.4441	-2.8853
0.3804	-1.2164	-0.9094	-1.0944	-0.4415	0.2231
1.3571	0.0128	-1.1880	-2.4041	0.1504	3.4130
-3.5394	-4.8440	-1.0280	-4.3327	-4.3463	1.7646
-0.0099	-2.1978	-0.0366	2.1141	-1.2523	-5.3030
-0.4544	1.9668	0.5969	2.2150	5.1066	1.3032
-2.0275	-2.7562	0.6392	-0.3061	0.6781	-0.2281
0.7925	4.3706	1.0377	7.0654	5.8398	1.9793
0.6059	2.6217	0.8110	-0.3586	0.9929	1.7769
0.3796	3.8662	2.1666	3.2474	5.3109	4.4053
